tconst,V1,ID,Title,Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,IMDb_catalog_2021,IMDb_rating_2026,IMDb_ratecount_2026,imdb_title_type,Match_Confidence_Current,rating_change,IMDb_rating_2021,IMDb_ratecount_2021,rating_change_2021_2026,ratecount_change_2021_2026,n_platforms,exclusive
tt5116628,4354,4653,Looped,2016,all,5.8/10,33/100,0,0,1,0,1,5.8,5.4,216,tvSeries,"Fuzzy (title exact, year +-1)",-0.399999999999999,5.7,74,-0.3,142,1,TRUE
tt5118450,5176,5516,Lab Rats: Elite Force,2016,7+,6.5/10,52/100,0,0,0,1,1,6.5,6.3,2342,tvSeries,Exact (title + year),-0.2,6.5,1112,-0.2,1230,1,TRUE
tt5122514,3189,3320,RocketJump: The Show,2015,16+,7.2/10,35/100,0,1,0,0,1,7.2,7.2,196,tvSeries,Exact (title + year),0,7.2,151,0,45,1,TRUE
tt5124168,4283,4579,Knock Knock Ghost,2015,13+,5.2/10,35/100,0,0,1,0,1,5.2,6.8,179,tvSeries,"Fuzzy (title exact, year +-1)",1.6,5.2,106,1.6,73,1,TRUE
tt5133742,3629,3844,The Last Post,2017,18+,7.2/10,60/100,0,0,1,0,1,7.2,7.3,3188,tvMiniSeries,Exact (title + year),0.0999999999999996,7.2,2351,0.0999999999999996,837,1,TRUE
tt5135336,810,813,The Method,2015,18+,7.4/10,56/100,1,0,0,0,1,7.4,7.2,3894,tvSeries,Exact (title + year),-0.2,7.4,2499,-0.2,1395,1,TRUE
tt5135744,4694,5010,The Ridge: Origins,2016,"","",13/100,0,0,1,0,1,,6,17,tvSeries,Exact (title + year),,6.2,14,-0.2,3,1,TRUE
tt5136220,3404,3538,Politicking with Larry King,2013,"","",13/100,0,1,0,0,1,,6.2,53,tvSeries,"Fuzzy (title exact, year +-1)",,5.4,27,0.8,26,1,TRUE
tt5137338,3493,3653,Victoria,2016,16+,8.2/10,78/100,0,0,1,0,1,8.2,8.2,35164,tvSeries,Exact (title + year),0,8.2,23559,0,11605,1,TRUE
tt5158256,3233,3365,Los Cowboys,2015,"",8.8/10,31/100,0,1,0,0,1,8.8,7.8,14,tvSeries,Exact (title + year),-1,8.8,8,-1,6,1,TRUE
tt5159916,3540,3722,Thirteen,2016,18+,7.2/10,69/100,0,0,1,0,1,7.2,7.2,10095,tvMiniSeries,Exact (title + year),0,7.3,7404,-0.0999999999999996,2691,1,TRUE
tt5164196,2071,2106,Lethal Weapon,2016,16+,7.9/10,77/100,0,1,0,0,1,7.9,7.8,42963,tvSeries,Exact (title + year),-0.100000000000001,7.9,35672,-0.100000000000001,7291,1,TRUE
tt5169608,3823,4078,Mamon,2015,"",7.4/10,50/100,0,0,1,0,1,7.4,7.3,334,tvSeries,Exact (title + year),-0.100000000000001,7.4,260,-0.100000000000001,74,1,TRUE
tt5170006,3221,3353,THE REFLECTION,2017,18+,6.1/10,33/100,0,1,0,0,1,6.1,5.1,126,tvMiniSeries,Exact (title + year),-1,6.1,82,-1,44,1,TRUE
tt5170230,1090,1093,Behind Enemy Lines,2001,13+,6.4/10,50/100,1,0,0,0,1,6.4,7.2,49,tvSeries,Exact (title + year),0.8,7.1,35,0.100000000000001,14,1,TRUE
tt5178792,4069,4355,After Hours,2015,16+,7.2/10,41/100,0,0,1,0,1,7.2,7.1,219,tvSeries,Exact (title + year),-0.100000000000001,7.2,162,-0.100000000000001,57,1,TRUE
tt5180504,18,19,The Witcher,2019,18+,8.2/10,89/100,1,0,0,0,1,8.2,7.8,622828,tvSeries,Exact (title + year),-0.399999999999999,8.2,321578,-0.399999999999999,301250,1,TRUE
tt5181214,4483,4785,Scandalous Overtures,2014,"",5.6/10,24/100,0,0,1,0,1,5.6,6.8,7,tvSeries,Exact (title + year),1.2,5.6,5,1.2,2,1,TRUE
tt5181284,1026,1029,Secrets of Great British Castles,2015,7+,7.8/10,52/100,1,0,0,0,1,7.8,7.7,1359,tvSeries,Exact (title + year),-0.0999999999999996,7.8,884,-0.0999999999999996,475,1,TRUE
tt5182866,349,351,Reply 1988,2015,"",9.1/10,67/100,1,0,0,0,1,9.1,9,19705,tvSeries,Exact (title + year),-0.0999999999999996,9.1,4257,-0.0999999999999996,15448,1,TRUE
tt5189670,59,60,Making a Murderer,2015,16+,8.6/10,84/100,1,0,0,0,1,8.6,8.5,108688,tvSeries,Exact (title + year),-0.0999999999999996,8.6,88435,-0.0999999999999996,20253,1,TRUE
tt5189944,2569,2667,Oh My Venus,2015,16+,7.8/10,57/100,0,1,0,0,1,7.8,7.7,8377,tvSeries,Exact (title + year),-0.0999999999999996,7.8,3671,-0.0999999999999996,4706,1,TRUE
tt5191128,616,619,The Break,2016,18+,7.6/10,60/100,1,0,0,0,1,7.6,6.8,228,tvSeries,Exact (title + original-language year),-0.8,6.6,203,0.2,25,1,TRUE
tt5191206,3107,3238,Eva La Trailera,2017,16+,7.3/10,39/100,0,1,0,0,1,7.3,7.1,71,tvSeries,"Fuzzy (title exact, year +-1)",-0.2,7.4,41,-0.300000000000001,30,1,TRUE
tt5193172,1341,1345,Dawn of the Croods,2015,7+,6.0/10,46/100,1,0,0,0,1,6,5.9,1097,tvSeries,Exact (title + year),-0.0999999999999996,6,564,-0.0999999999999996,533,1,TRUE
tt5193358,495,498,Wanted,2016,16+,7.7/10,63/100,1,0,0,0,1,7.7,7.6,7103,tvSeries,Exact (title + original-language year),-0.100000000000001,7.7,4916,-0.100000000000001,2187,1,TRUE
tt5194792,2226,2278,NOS4A2,2019,16+,6.7/10,69/100,0,1,0,0,1,6.7,6.6,13150,tvSeries,Exact (title + year),-0.100000000000001,6.7,7958,-0.100000000000001,5192,1,TRUE
tt5195114,5119,5450,Andi Mack,2017,all,7.2/10,60/100,0,0,0,1,1,7.2,7.3,2849,tvSeries,Exact (title + year),0.0999999999999996,7.3,1951,0,898,1,TRUE
tt5197820,405,407,Van Helsing,2016,16+,6.2/10,66/100,1,0,0,0,1,6.2,6.3,26597,tvSeries,Exact (title + year),0.0999999999999996,6.2,18851,0.0999999999999996,7746,1,TRUE
tt5197860,501,504,Tabula Rasa,2017,18+,8.0/10,63/100,1,0,0,0,1,8,7.9,11991,tvMiniSeries,Exact (title + year),-0.0999999999999996,8,8949,-0.0999999999999996,3042,1,TRUE
tt5200330,4091,4378,Dino Dana,2017,all,7.1/10,41/100,0,0,1,0,1,7.1,7.3,679,tvSeries,Exact (title + year),0.2,7.2,396,0.0999999999999996,283,1,TRUE
tt5212822,211,212,Imposters,2017,16+,7.8/10,73/100,1,0,0,0,1,7.8,7.8,16493,tvSeries,Exact (title + year),0,7.8,11302,0,5191,1,TRUE
tt5219042,2790,2902,Born This Way,2015,7+,8.5/10,51/100,0,1,0,0,1,8.5,8.6,621,tvSeries,Exact (title + year),0.0999999999999996,8.5,489,0.0999999999999996,132,1,TRUE
tt5226884,2895,3017,Chopped Junior,2015,"",6.4/10,48/100,0,1,0,0,1,6.4,6.3,274,tvSeries,Exact (title + year),-0.100000000000001,6.4,171,-0.100000000000001,103,1,TRUE
tt5228026,887,890,Netflix Presents: The Characters,2016,18+,5.4/10,54/100,1,0,0,0,1,5.4,5.5,1112,tvSeries,"Fuzzy (prefix stripped, exact year)",0.0999999999999996,5.4,730,0.0999999999999996,382,1,TRUE
tt5231950,1342,1346,A Touch of Green,2015,"",8.4/10,46/100,1,0,0,0,1,8.4,8.4,496,tvSeries,Exact (title + year),0,8.5,238,-0.0999999999999996,258,1,TRUE
tt5232464,1376,1380,Bromance,2015,"",7.8/10,45/100,1,0,0,0,1,7.8,7.8,539,tvSeries,Exact (title + year),0,7.8,408,0,131,1,TRUE
tt5232792,103,104,Lost in Space,2018,7+,7.3/10,80/100,1,1,0,0,1,7.3,7.3,114130,tvSeries,Exact (title + year),0,7.3,75450,0,38680,2,FALSE
tt5235950,1707,1713,Word Party,2016,all,5.9/10,37/100,1,0,0,0,1,5.9,5.5,435,tvSeries,Exact (title + year),-0.4,5.9,309,-0.4,126,1,TRUE
tt5237818,3831,4087,Bridget & Eamon,2016,16+,7.7/10,49/100,0,0,1,0,1,7.7,7.8,875,tvSeries,Exact (title + year),0.0999999999999996,7.6,546,0.2,329,1,TRUE
tt5239494,3718,3952,The Collection,2016,18+,7.1/10,54/100,0,0,1,0,1,7.1,7,2568,tvSeries,Exact (title + year),-0.0999999999999996,7.1,1990,-0.0999999999999996,578,1,TRUE
tt5240222,885,888,God Eater,2015,16+,7.0/10,54/100,1,0,0,0,1,7,6.9,2606,tvSeries,Exact (title + year),-0.0999999999999996,7,1660,-0.0999999999999996,946,1,TRUE
tt5247918,4166,4461,The Timeline,2015,"",8.2/10,38/100,0,0,1,0,1,8.2,8.1,117,tvSeries,Exact (title + year),-0.0999999999999996,8.2,84,-0.0999999999999996,33,1,TRUE
tt5248878,3658,3881,Hunting Hitler,2015,16+,7.4/10,58/100,0,0,1,0,1,7.4,7.4,2828,tvSeries,Exact (title + year),0,7.5,2167,-0.0999999999999996,661,1,TRUE
tt5249462,206,207,ERASED,2016,16+,8.5/10,74/100,1,1,0,0,1,8.5,8.4,76000,tvMiniSeries,Exact (title + year),-0.0999999999999996,8.5,33610,-0.0999999999999996,42390,2,FALSE
tt5255092,3170,3301,LA Story,2014,16+,7.2/10,36/100,0,1,0,0,1,7.2,8.6,12,tvSeries,"Fuzzy (title exact, year +-1)",1.4,7.2,10,1.4,2,1,TRUE
tt5262572,4253,4549,Christmas Through the Decades,2015,"",8.2/10,36/100,0,0,1,0,1,8.2,8.1,77,tvMiniSeries,Exact (title + year),-0.0999999999999996,8.2,28,-0.0999999999999996,49,1,TRUE
tt5269594,247,248,Marcella,2016,18+,7.4/10,72/100,1,0,0,0,1,7.4,7.3,41257,tvSeries,Exact (title + year),-0.100000000000001,7.4,25873,-0.100000000000001,15384,1,TRUE
tt5270356,5195,5535,Ice Road Rescue,2015,"",8.0/10,50/100,0,0,0,1,1,8,7.8,471,tvSeries,Exact (title + year),-0.2,8,179,-0.2,292,1,TRUE
tt5275894,841,844,Chelsea Does,2016,18+,7.2/10,55/100,1,0,0,0,1,7.2,7.4,2667,tvSeries,Exact (title + year),0.2,7.2,2358,0.2,309,1,TRUE
tt5290382,10,11,Mindhunter,2017,18+,8.6/10,90/100,1,0,0,0,1,8.6,8.6,402201,tvSeries,Exact (title + year),0,8.6,230492,0,171709,1,TRUE
tt5292052,4034,4318,Ready Jet Go!,2016,all,6.1/10,43/100,0,0,1,0,1,6.1,5.9,227,tvSeries,Exact (title + year),-0.199999999999999,6.1,111,-0.199999999999999,116,1,TRUE
tt5293462,1584,1590,The Qin Empire,2009,7+,8.1/10,40/100,1,0,0,0,1,8.1,8.1,188,tvSeries,Exact (title + year),0,8.1,75,0,113,1,TRUE
tt5295524,424,426,Crashing,2016,"",7.7/10,65/100,1,0,0,0,1,7.7,7.6,29399,tvSeries,Exact (title + year),-0.100000000000001,7.7,15748,-0.100000000000001,13651,1,TRUE
tt5296406,161,162,Designated Survivor,2016,7+,7.5/10,77/100,1,0,0,0,1,7.5,7.4,116176,tvSeries,Exact (title + year),-0.0999999999999996,7.5,80319,-0.0999999999999996,35857,1,TRUE
tt5302168,3907,4179,Street Fighter: Resurrection,2016,16+,6.5/10,46/100,0,0,1,0,1,6.5,6,630,tvSeries,Exact (title + year),-0.5,6.5,409,-0.5,221,1,TRUE
