title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_seasons_aggregated,tconst,imdb_title_type,rotten_tomatoes_numeric,log_hours_viewed_2023,log_imdb_ratecount_2021
Fullmetal Alchemist: Brotherhood,2009,16+,9.1,88/100,1,0,0,2,FALSE,131332,6600000,800000,FALSE,FALSE,,10,tt1355642,tvSeries,88,15.7025803585118,11.7854913615377
Best Leftovers Ever!,2020,all,5.7,44/100,0,0,0,1,TRUE,395,5700000,400000,TRUE,TRUE,2020-12-30,2,tt13563634,tvSeries,44,15.5559769082434,5.98141421125448
BREAK IT ALL: The History of Rock in Latin America,2020,18+,7.6,51/100,0,0,0,1,TRUE,1059,1600000,100000,TRUE,TRUE,2020-12-16,2,tt13570366,tvMiniSeries,51,14.2855148122098,6.96602418710611
Headspace Guide to Meditation,2021,7+,8.5,53/100,0,0,0,1,TRUE,1171,6400000,900000,TRUE,TRUE,2021-01-01,2,tt13617024,tvMiniSeries,53,15.6718087045799,7.06646697013696
History of Swear Words,2021,18+,6.4,57/100,0,0,0,1,TRUE,3981,1600000,200000,TRUE,TRUE,2021-01-05,2,tt13617060,tvSeries,57,14.2855148122098,8.28953948462414
Beyond Evil,2021,Unknown,8.1,61/100,0,0,0,1,TRUE,594,5100000,300000,FALSE,FALSE,,1,tt13634872,tvSeries,61,15.444751293773,6.38856140554563
Surviving Death,2021,18+,6.1,46/100,0,0,0,1,TRUE,1574,12800000,1000000,TRUE,TRUE,2021-01-06,2,tt13649692,tvSeries,46,16.3649558070148,7.36201055125973
Night Stalker: The Hunt For a Serial Killer,2021,18+,7.5,70/100,0,0,0,1,TRUE,19114,11100000,1600000,TRUE,TRUE,2021-01-13,2,tt13651632,tvMiniSeries,70,16.2224557563727,9.85822864613051
We Are: The Brooklyn Saints,2021,Unknown,6.5,41/100,0,0,0,1,TRUE,122,100000,,TRUE,TRUE,2021-01-29,1,tt13656220,tvSeries,41,11.5129354649202,4.81218435537242
Black Space,2020,Unknown,6.8,59/100,0,0,0,1,TRUE,722,7200000,500000,FALSE,FALSE,2021-05-27,2,tt13660638,tvSeries,59,15.7895917228752,6.58340922215877
Bling Empire,2021,18+,5.8,50/100,0,0,0,1,TRUE,2200,14300000,700000,TRUE,TRUE,2021-01-15,6,tt13660962,tvSeries,50,16.4757701651602,7.69666708152646
"Hello, Me!",2021,Unknown,7.2,46/100,0,0,0,1,TRUE,284,14300000,300000,TRUE,TRUE,2021-02-17,2,tt13670090,tvSeries,46,16.4757701651602,5.65248918026865
