title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_distinct_seasons,tconst,imdb_title_type
Never Have I Ever,2020,16+,7.9,86/100,0,0,0,1,TRUE,27637,479200000,28700000,TRUE,TRUE,2020-04-27,4,tt10062292,tvSeries
Stolen Away,2020,"",7.1,48/100,0,0,0,1,TRUE,1922,26200000,1500000,FALSE,FALSE,2020-06-05,1,tt10064124,tvSeries
Home for Christmas,2019,18+,7.7,60/100,0,0,0,1,TRUE,10961,10400000,3100000,TRUE,TRUE,2019-12-05,2,tt10069398,tvSeries
Tiffany Haddish Presents: They Ready,2019,"",6.3,43/100,0,0,0,1,TRUE,476,400000,,TRUE,TRUE,2019-08-13,2,tt10085386,tvSeries
Morphle,2019,all,4.9,34/100,1,0,0,2,FALSE,50,20400000,7700000,TRUE,TRUE,,1,tt10087694,tvSeries
Move,2020,"",,40/100,0,0,0,1,TRUE,84,200000,,TRUE,TRUE,2020-10-23,1,tt10092764,tvSeries
Feel Good,2020,18+,7.5,77/100,0,0,0,1,TRUE,6299,2500000,400000,TRUE,TRUE,2021-06-04,1,tt10098620,tvSeries
Curon,2020,18+,5.8,56/100,0,0,0,1,TRUE,3477,5400000,500000,TRUE,TRUE,2020-06-10,1,tt10101518,tvSeries
Seis Manos,2019,18+,7.2,61/100,0,0,0,1,TRUE,1209,2200000,200000,TRUE,TRUE,2019-10-03,1,tt10106108,tvSeries
The Defected,2019,"",7.2,40/100,0,0,0,1,TRUE,48,500000,,FALSE,FALSE,,1,tt10141612,tvSeries
Spectros,2020,18+,4.7,41/100,0,0,0,1,TRUE,338,600000,100000,TRUE,TRUE,2020-02-20,1,tt10145110,tvSeries
The Minions of Midas,2020,"",6.6,53/100,0,0,0,1,TRUE,3374,4800000,400000,TRUE,TRUE,2020-11-13,1,tt10147520,tvMiniSeries
Sneakerheads,2020,"",6.2,47/100,0,0,0,1,TRUE,1115,3100000,500000,TRUE,TRUE,2020-09-25,1,tt10151772,tvSeries
Julie and the Phantoms,2020,7+,8.5,74/100,0,0,0,1,TRUE,7138,21300000,2200000,TRUE,TRUE,2020-09-10,1,tt10183988,tvSeries
It's Bruno!,2019,7+,7.5,63/100,0,0,0,1,TRUE,2610,1000000,100000,TRUE,TRUE,2019-05-17,1,tt10186846,tvSeries
One Spring Night,2019,"",7.9,51/100,0,0,0,1,TRUE,1653,27000000,800000,TRUE,TRUE,2019-05-22,1,tt10192576,tvSeries
Sons of the Caliphate,2016,"",,13/100,0,0,0,1,TRUE,27,100000,,FALSE,FALSE,,1,tt10202268,tvSeries
Pandora,2019,7+,4.2,52/100,0,1,0,2,FALSE,3094,2700000,,FALSE,FALSE,2017-03-17,1,tt10207090,tvSeries
Chief of Staff,2019,16+,7.9,44/100,0,0,0,1,TRUE,321,5100000,200000,TRUE,TRUE,2019-06-14,2,tt10220476,tvSeries
Legend Quest: Masters of Myth,2019,"",7.7,39/100,0,0,0,1,TRUE,101,1900000,200000,TRUE,TRUE,2019-10-05,1,tt10228032,tvSeries
Bombay Begums,2021,"",4.9,48/100,0,0,0,1,TRUE,3469,2000000,200000,TRUE,TRUE,2021-03-08,1,tt10238792,tvSeries
Reality Z,2020,18+,5.4,53/100,0,0,0,1,TRUE,2098,5100000,400000,TRUE,TRUE,2020-06-10,1,tt10241238,tvSeries
Crime Diaries: Night Out,2019,"",7.8,44/100,0,0,0,1,TRUE,702,5400000,600000,TRUE,TRUE,2019-05-03,1,tt10242266,tvMiniSeries
Jailbirds,2019,18+,7.1,49/100,0,0,0,1,TRUE,908,8000000,700000,TRUE,TRUE,2019-05-10,1,tt10243628,tvSeries
Killer Ratings,2019,18+,8,53/100,0,0,0,1,TRUE,1334,2300000,200000,TRUE,TRUE,2019-05-31,1,tt10243692,tvMiniSeries
Oktoberfest: Beer & Blood,2020,"",6.8,50/100,0,0,0,1,TRUE,1730,3200000,400000,TRUE,TRUE,2020-10-01,1,tt10244612,tvMiniSeries
Extracurricular,2020,18+,7.7,56/100,0,0,0,1,TRUE,3315,15400000,700000,TRUE,TRUE,2020-04-29,1,tt10262630,tvSeries
Put Your Head on My Shoulder,2019,7+,8,51/100,0,0,0,1,TRUE,1212,16400000,500000,FALSE,FALSE,,1,tt10265158,tvSeries
My Perfect Landing,2020,"",6.3,42/100,0,0,0,1,TRUE,108,20600000,1700000,FALSE,FALSE,,1,tt10268080,tvSeries
Outer Banks,2020,18+,7.6,79/100,0,0,0,1,TRUE,22148,865400000,14700000,TRUE,TRUE,2020-04-15,3,tt10293938,tvSeries
